config,ruleZero,signals,degradation,pairs,auc,ciLo,ciHi
AGENCY+TRUTH,false,"AGENCY TRUTH",SCENE_SHUFFLE,18,0.3056,0.1111,0.5278
AGENCY+TRUTH,false,"AGENCY TRUTH",MIDPOINT_DROP,18,0.3889,0.1667,0.6111
AGENCY+TRUTH,false,"AGENCY TRUTH",CLIMAX_RELOCATE,18,0.4722,0.2778,0.6944
AGENCY+TRUTH,false,"AGENCY TRUTH",DIALOGUE_FLATTEN,18,1.0000,1.0000,1.0000
AGENCY+TRUTH,false,"AGENCY TRUTH",POOLED,72,0.5417,0.4236,0.6528
QL+AGENCY+TRUTH,false,"QL AGENCY TRUTH",SCENE_SHUFFLE,18,0.3056,0.1111,0.5278
QL+AGENCY+TRUTH,false,"QL AGENCY TRUTH",MIDPOINT_DROP,18,0.3889,0.1667,0.6111
QL+AGENCY+TRUTH,false,"QL AGENCY TRUTH",CLIMAX_RELOCATE,18,0.4722,0.2778,0.6944
QL+AGENCY+TRUTH,false,"QL AGENCY TRUTH",DIALOGUE_FLATTEN,18,1.0000,1.0000,1.0000
QL+AGENCY+TRUTH,false,"QL AGENCY TRUTH",POOLED,72,0.5417,0.4236,0.6528
REV+AGENCY+TRUTH,false,"REV AGENCY TRUTH",SCENE_SHUFFLE,18,0.3056,0.1111,0.5278
REV+AGENCY+TRUTH,false,"REV AGENCY TRUTH",MIDPOINT_DROP,18,0.3889,0.1667,0.6111
REV+AGENCY+TRUTH,false,"REV AGENCY TRUTH",CLIMAX_RELOCATE,18,0.4722,0.2778,0.6944
REV+AGENCY+TRUTH,false,"REV AGENCY TRUTH",DIALOGUE_FLATTEN,18,1.0000,1.0000,1.0000
REV+AGENCY+TRUTH,false,"REV AGENCY TRUTH",POOLED,72,0.5417,0.4236,0.6528
QL+REV+AGENCY+TRUTH,false,"QL REV AGENCY TRUTH",SCENE_SHUFFLE,18,0.3056,0.1111,0.5278
QL+REV+AGENCY+TRUTH,false,"QL REV AGENCY TRUTH",MIDPOINT_DROP,18,0.3889,0.1667,0.6111
QL+REV+AGENCY+TRUTH,false,"QL REV AGENCY TRUTH",CLIMAX_RELOCATE,18,0.4722,0.2778,0.6944
QL+REV+AGENCY+TRUTH,false,"QL REV AGENCY TRUTH",DIALOGUE_FLATTEN,18,1.0000,1.0000,1.0000
QL+REV+AGENCY+TRUTH,false,"QL REV AGENCY TRUTH",POOLED,72,0.5417,0.4236,0.6528
RULE_ZERO,true,"",SCENE_SHUFFLE,18,0.5000,0.5000,0.5000
RULE_ZERO,true,"",MIDPOINT_DROP,18,1.0000,1.0000,1.0000
RULE_ZERO,true,"",CLIMAX_RELOCATE,18,0.5000,0.5000,0.5000
RULE_ZERO,true,"",DIALOGUE_FLATTEN,18,0.9722,0.9167,1.0000
RULE_ZERO,true,"",POOLED,72,0.7431,0.6875,0.7986
RULE_ZERO+QL,true,"QL",SCENE_SHUFFLE,18,0.5000,0.5000,0.5000
RULE_ZERO+QL,true,"QL",MIDPOINT_DROP,18,1.0000,1.0000,1.0000
RULE_ZERO+QL,true,"QL",CLIMAX_RELOCATE,18,0.5000,0.5000,0.5000
RULE_ZERO+QL,true,"QL",DIALOGUE_FLATTEN,18,0.9722,0.9167,1.0000
RULE_ZERO+QL,true,"QL",POOLED,72,0.7431,0.6875,0.7986
RULE_ZERO+REV,true,"REV",SCENE_SHUFFLE,18,0.5000,0.5000,0.5000
RULE_ZERO+REV,true,"REV",MIDPOINT_DROP,18,0.9444,0.8333,1.0000
RULE_ZERO+REV,true,"REV",CLIMAX_RELOCATE,18,0.5000,0.5000,0.5000
RULE_ZERO+REV,true,"REV",DIALOGUE_FLATTEN,18,0.9722,0.9167,1.0000
RULE_ZERO+REV,true,"REV",POOLED,72,0.7292,0.6667,0.7917
RULE_ZERO+QL+REV,true,"QL REV",SCENE_SHUFFLE,18,0.5000,0.5000,0.5000
RULE_ZERO+QL+REV,true,"QL REV",MIDPOINT_DROP,18,0.9444,0.8333,1.0000
RULE_ZERO+QL+REV,true,"QL REV",CLIMAX_RELOCATE,18,0.5000,0.5000,0.5000
RULE_ZERO+QL+REV,true,"QL REV",DIALOGUE_FLATTEN,18,0.9722,0.9167,1.0000
RULE_ZERO+QL+REV,true,"QL REV",POOLED,72,0.7292,0.6667,0.7917
RULE_ZERO+AGENCY,true,"AGENCY",SCENE_SHUFFLE,18,0.4444,0.3056,0.5833
RULE_ZERO+AGENCY,true,"AGENCY",MIDPOINT_DROP,18,1.0000,1.0000,1.0000
RULE_ZERO+AGENCY,true,"AGENCY",CLIMAX_RELOCATE,18,0.5278,0.4444,0.6389
RULE_ZERO+AGENCY,true,"AGENCY",DIALOGUE_FLATTEN,18,0.9722,0.9167,1.0000
RULE_ZERO+AGENCY,true,"AGENCY",POOLED,72,0.7361,0.6597,0.8056
RULE_ZERO+QL+AGENCY,true,"QL AGENCY",SCENE_SHUFFLE,18,0.4444,0.3056,0.5833
RULE_ZERO+QL+AGENCY,true,"QL AGENCY",MIDPOINT_DROP,18,1.0000,1.0000,1.0000
RULE_ZERO+QL+AGENCY,true,"QL AGENCY",CLIMAX_RELOCATE,18,0.5278,0.4444,0.6389
RULE_ZERO+QL+AGENCY,true,"QL AGENCY",DIALOGUE_FLATTEN,18,0.9722,0.9167,1.0000
RULE_ZERO+QL+AGENCY,true,"QL AGENCY",POOLED,72,0.7361,0.6597,0.8056
RULE_ZERO+REV+AGENCY,true,"REV AGENCY",SCENE_SHUFFLE,18,0.4444,0.3056,0.5833
RULE_ZERO+REV+AGENCY,true,"REV AGENCY",MIDPOINT_DROP,18,0.9444,0.8333,1.0000
RULE_ZERO+REV+AGENCY,true,"REV AGENCY",CLIMAX_RELOCATE,18,0.5278,0.4444,0.6389
RULE_ZERO+REV+AGENCY,true,"REV AGENCY",DIALOGUE_FLATTEN,18,0.9722,0.9167,1.0000
RULE_ZERO+REV+AGENCY,true,"REV AGENCY",POOLED,72,0.7222,0.6458,0.7917
RULE_ZERO+QL+REV+AGENCY,true,"QL REV AGENCY",SCENE_SHUFFLE,18,0.4444,0.3056,0.5833
RULE_ZERO+QL+REV+AGENCY,true,"QL REV AGENCY",MIDPOINT_DROP,18,0.9444,0.8333,1.0000
RULE_ZERO+QL+REV+AGENCY,true,"QL REV AGENCY",CLIMAX_RELOCATE,18,0.5278,0.4444,0.6389
RULE_ZERO+QL+REV+AGENCY,true,"QL REV AGENCY",DIALOGUE_FLATTEN,18,0.9722,0.9167,1.0000
RULE_ZERO+QL+REV+AGENCY,true,"QL REV AGENCY",POOLED,72,0.7222,0.6458,0.7917
RULE_ZERO+TRUTH,true,"TRUTH",SCENE_SHUFFLE,18,0.5556,0.5000,0.6389
RULE_ZERO+TRUTH,true,"TRUTH",MIDPOINT_DROP,18,1.0000,1.0000,1.0000
RULE_ZERO+TRUTH,true,"TRUTH",CLIMAX_RELOCATE,18,0.5000,0.5000,0.5000
RULE_ZERO+TRUTH,true,"TRUTH",DIALOGUE_FLATTEN,18,0.9722,0.9167,1.0000
RULE_ZERO+TRUTH,true,"TRUTH",POOLED,72,0.7569,0.7014,0.8125
RULE_ZERO+QL+TRUTH,true,"QL TRUTH",SCENE_SHUFFLE,18,0.5556,0.5000,0.6389
RULE_ZERO+QL+TRUTH,true,"QL TRUTH",MIDPOINT_DROP,18,1.0000,1.0000,1.0000
RULE_ZERO+QL+TRUTH,true,"QL TRUTH",CLIMAX_RELOCATE,18,0.5000,0.5000,0.5000
RULE_ZERO+QL+TRUTH,true,"QL TRUTH",DIALOGUE_FLATTEN,18,0.9722,0.9167,1.0000
