config,ruleZero,signals,degradation,pairs,auc,ciLo,ciHi
AGENCY+TRUTH,false,"AGENCY TRUTH",SCENE_SHUFFLE,38,0.5000,0.3421,0.6447
AGENCY+TRUTH,false,"AGENCY TRUTH",MIDPOINT_DROP,38,0.1842,0.0526,0.3158
AGENCY+TRUTH,false,"AGENCY TRUTH",CLIMAX_RELOCATE,38,0.5263,0.3684,0.6711
AGENCY+TRUTH,false,"AGENCY TRUTH",DIALOGUE_FLATTEN,38,1.0000,1.0000,1.0000
AGENCY+TRUTH,false,"AGENCY TRUTH",POOLED,152,0.5526,0.4737,0.6283
QL+AGENCY+TRUTH,false,"QL AGENCY TRUTH",SCENE_SHUFFLE,38,0.5000,0.3421,0.6447
QL+AGENCY+TRUTH,false,"QL AGENCY TRUTH",MIDPOINT_DROP,38,0.1842,0.0526,0.3158
QL+AGENCY+TRUTH,false,"QL AGENCY TRUTH",CLIMAX_RELOCATE,38,0.5263,0.3684,0.6711
QL+AGENCY+TRUTH,false,"QL AGENCY TRUTH",DIALOGUE_FLATTEN,38,1.0000,1.0000,1.0000
QL+AGENCY+TRUTH,false,"QL AGENCY TRUTH",POOLED,152,0.5526,0.4737,0.6283
REV+AGENCY+TRUTH,false,"REV AGENCY TRUTH",SCENE_SHUFFLE,38,0.5000,0.3421,0.6447
REV+AGENCY+TRUTH,false,"REV AGENCY TRUTH",MIDPOINT_DROP,38,0.1842,0.0526,0.3158
REV+AGENCY+TRUTH,false,"REV AGENCY TRUTH",CLIMAX_RELOCATE,38,0.5263,0.3684,0.6711
REV+AGENCY+TRUTH,false,"REV AGENCY TRUTH",DIALOGUE_FLATTEN,38,0.9737,0.9342,1.0000
REV+AGENCY+TRUTH,false,"REV AGENCY TRUTH",POOLED,152,0.5461,0.4704,0.6217
QL+REV+AGENCY+TRUTH,false,"QL REV AGENCY TRUTH",SCENE_SHUFFLE,38,0.5000,0.3421,0.6447
QL+REV+AGENCY+TRUTH,false,"QL REV AGENCY TRUTH",MIDPOINT_DROP,38,0.1842,0.0526,0.3158
QL+REV+AGENCY+TRUTH,false,"QL REV AGENCY TRUTH",CLIMAX_RELOCATE,38,0.5263,0.3684,0.6711
QL+REV+AGENCY+TRUTH,false,"QL REV AGENCY TRUTH",DIALOGUE_FLATTEN,38,0.9737,0.9342,1.0000
QL+REV+AGENCY+TRUTH,false,"QL REV AGENCY TRUTH",POOLED,152,0.5461,0.4704,0.6217
RULE_ZERO,true,"",SCENE_SHUFFLE,38,0.5000,0.5000,0.5000
RULE_ZERO,true,"",MIDPOINT_DROP,38,1.0000,1.0000,1.0000
RULE_ZERO,true,"",CLIMAX_RELOCATE,38,0.5000,0.5000,0.5000
RULE_ZERO,true,"",DIALOGUE_FLATTEN,38,0.7632,0.6842,0.8421
RULE_ZERO,true,"",POOLED,152,0.6908,0.6513,0.7270
RULE_ZERO+QL,true,"QL",SCENE_SHUFFLE,38,0.5000,0.5000,0.5000
RULE_ZERO+QL,true,"QL",MIDPOINT_DROP,38,1.0000,1.0000,1.0000
RULE_ZERO+QL,true,"QL",CLIMAX_RELOCATE,38,0.5000,0.5000,0.5000
RULE_ZERO+QL,true,"QL",DIALOGUE_FLATTEN,38,0.7632,0.6842,0.8421
RULE_ZERO+QL,true,"QL",POOLED,152,0.6908,0.6513,0.7270
RULE_ZERO+REV,true,"REV",SCENE_SHUFFLE,38,0.5000,0.5000,0.5000
RULE_ZERO+REV,true,"REV",MIDPOINT_DROP,38,0.8684,0.7368,0.9737
RULE_ZERO+REV,true,"REV",CLIMAX_RELOCATE,38,0.5000,0.5000,0.5000
RULE_ZERO+REV,true,"REV",DIALOGUE_FLATTEN,38,0.7632,0.6842,0.8421
RULE_ZERO+REV,true,"REV",POOLED,152,0.6579,0.6151,0.7007
