file,protagonist,legacyReversals,detectedReversals,reversalDisagree,d1Disagree,d2Disagree,qlDeduction
crawl/sci-fi/troy-pdf.fountain,ACHILLES,0,0,false,false,false,0
up-2009.fountain,CARL,0,0,false,false,false,0
crawl/action/the-cider-house-rules.fountain,HOMER,1,0,true,false,false,0
crawl/horror/meet-joe-black-html.fountain,PARRISH,0,0,false,false,false,0
the-good-dinosaur-2015.fountain,ARLO,0,0,false,false,false,0
crawl/action/soldier.fountain,SANDRA,0,0,false,false,false,0
crawl/sci-fi/american-splendor-pdf.fountain,HARVEY,0,0,false,false,false,0
crawl/sci-fi/hotel-rwanda-pdf.fountain,PAUL,0,0,false,false,false,0
crawl/action/autumn-in-new-york.fountain,WILLS,0,0,false,false,false,0
crawl/action/the-grifters.fountain,ROY,0,0,false,false,false,0
crawl/crime/drop-dead-gorgeous.fountain,AMBER,0,0,false,false,false,0.14285714285714235
crawl/sci-fi/being-human-pdf.fountain,HECTOR,0,0,false,false,false,0
crawl/sci-fi/rough-diamonds-filmed-as-wild-things-diamonds-in-the-rough-p.fountain,MARIE,0,0,false,false,false,0
crawl/crime/fracture-pdf.fountain,WILLY,0,0,false,false,false,0
crawl/horror/pirates-of-the-caribbean.fountain,JACK,0,0,false,false,false,0
crawl/sci-fi/toni-erdmann-pdf.fountain,I,0,0,false,false,false,0
crawl/comedy/a-walk-to-remember.fountain,LANDON,0,0,false,false,false,0
crawl/sci-fi/10-000-b-c-pdf.fountain,NAKUDU,0,0,false,false,false,0
crawl/sci-fi/virtuosity-pdf.fountain,PARKER,0,0,false,false,false,0
crawl/sci-fi/the-boy-next-door-pdf.fountain,CLAIRE,0,0,false,false,false,0
spiyder-race-2011-html.fountain,MILES,0,1,true,false,false,0
crawl/sci-fi/20th-century-woman-pdf.fountain,DOROTHEA,0,0,false,false,false,0
crawl/action/heist-pdf.fountain,MOORE,0,0,false,false,false,0
crawl/action/nick-of-time.fountain,GENE,0,0,false,false,false,0
Frozen.fountain.txt,ANNA,0,1,true,false,false,0
Toy_Story_3.fountain.txt,WOODY,0,0,false,false,false,0
crawl/action/ace-ventura-pet-detective.fountain,ACE,0,0,false,false,false,0
crawl/crime/the-cell.fountain,CATHERINE,0,0,false,false,false,0
crawl/comedy/timber-falls-html.fountain,MIKE,0,0,false,false,false,0
crawl/horror/little-nicky.fountain,NICKY,0,0,false,false,false,0
crawl/action/3-kings-spoils-of-war.fountain,EPPS,0,0,false,false,false,0
crawl/sci-fi/the-meddler-pdf.fountain,MARNIE,0,0,false,false,false,0.714285714285714
spider-man-across-the-spider-verse-2023.fountain,MILES,0,0,false,false,false,0
crawl/sci-fi/wonderstruck-pdf.fountain,BEN,0,0,false,false,false,0
crawl/sci-fi/breakdown-pdf.fountain,JEFF,0,0,false,false,false,0
crawl/sci-fi/the-island-pdf.fountain,LINCOLN,1,0,true,false,false,0
crawl/fantasy/batman-returns.fountain,PENGUIN,0,0,false,false,false,0
crawl/romance/never-been-kissed.fountain,JOSIE,0,0,false,false,false,0
crawl/action/hero.fountain,BERNIE,0,0,false,false,false,0
crawl/sci-fi/get-on-up-pdf.fountain,JAMES,0,0,false,false,false,0
crawl/sci-fi/heat-pdf.fountain,NEIL,0,0,false,false,false,0
crawl/sci-fi/call-me-by-your-name-pdf.fountain,ELIO,0,0,false,false,false,0
crawl/crime/the-crowded-room.fountain,BILLY,0,0,false,false,false,0
crawl/sci-fi/youth-in-revolt-pdf.fountain,NICK,0,0,false,false,false,0.14851485148514865
crawl/sci-fi/dunkirk-pdf.fountain,ALEX,0,0,false,false,false,0.5172413793103448
crawl/sci-fi/frozen-river-pdf.fountain,RAY,0,0,false,false,false,0
crawl/action/lake-placid.fountain,KELLY,0,0,false,false,false,0
crawl/crime/croupier-html.fountain,JACK,0,0,false,false,false,0
crawl/action/last-of-the-mohicans.fountain,HAWKEYE,0,0,false,false,false,0.21739130434782594
Heavy Metal.fountain.txt,HARRY,0,0,false,false,false,0
cars-2-matched.fountain,MATER,0,0,false,false,false,0
crawl/crime/cellular.fountain,THEO,0,0,false,false,false,0
crawl/sci-fi/maggie-s-plan-pdf.fountain,MAGGIE,0,0,false,false,false,0
crawl/crime/reindeer-games.fountain,RUDY,0,0,false,false,false,0
crawl/action/snow-falling-on-cedars.fountain,ISHMAEL,0,0,false,false,false,0
crawl/sci-fi/arac-attack-released-as-eight-legged-freaks-pdf.fountain,SAM,0,0,false,false,false,0
crawl/action/13-days.fountain,KENNY,0,0,false,false,false,0
crawl/action/copycat.fountain,M.J.,0,0,false,false,false,0
Monsters_University.fountain.txt,MIKE,0,1,true,false,false,0
crawl/action/watchmen-html.fountain,DAN,0,0,false,false,false,0
crawl/crime/glengarry-glen-ross.fountain,ROMA,0,0,false,false,false,0
crawl/sci-fi/the-royal-tenenbaums-pdf.fountain,ROYAL,0,0,false,false,false,0
crawl/sci-fi/the-zero-theorem-pdf.fountain,QOHEN,0,0,false,false,false,0
crawl/war/rushmore.fountain,MAX,0,0,false,false,false,0
crawl/sci-fi/macbeth-pdf.fountain,MACBETH,0,0,false,false,false,0
crawl/sci-fi/game-6-pdf.fountain,NICKY,0,0,false,false,false,0
crawl/horror/beavis-and-butt-head-do-america.fountain,BUTT-HEAD,0,0,false,false,false,0
crawl/sci-fi/hitchhiker-s-guide-to-the-galaxy-pdf.fountain,ARTHUR,0,0,false,false,false,0
crawl/action/there-s-something-about-mary.fountain,TED,0,0,false,false,false,0
crawl/sci-fi/chronicle-pdf.fountain,ANDREW,0,0,false,false,false,0
crawl/sci-fi/the-postman-pdf.fountain,THE POSTMAN,0,0,false,false,false,0
crawl/crime/thunderheart.fountain,RAY,0,0,false,false,false,0
crawl/action/fear-and-loathing-in-las-vegas.fountain,DUKE,0,0,false,false,false,0.6000000000000005
crawl/crime/high-fidelity.fountain,ROB,0,1,true,false,false,0
crawl/crime/juno.fountain,JUNO,0,1,true,false,false,0
crawl/sci-fi/gone-girl-pdf.fountain,NICK,0,0,false,false,false,0
crawl/sci-fi/brooklyn-pdf.fountain,EILIS,0,0,false,false,false,0
crawl/action/mighty-morphin-power-rangers.fountain,IVAN,0,0,false,false,false,2.6923076923076925
crawl/sci-fi/the-power-of-one-pdf.fountain,PK,0,0,false,false,false,0
crawl/sci-fi/confidence-pdf.fountain,JAKE,0,1,true,false,false,0
crawl/horror/the-ghost-and-the-darkness.fountain,PATTERSON,0,0,false,false,false,0
crawl/action/cold-mountain.fountain,ADA,0,0,false,false,false,0
crawl/sci-fi/unbroken-pdf.fountain,LOUIE,0,0,false,false,false,0
crawl/sci-fi/harold-and-kumar-go-to-white-castle-pdf.fountain,KUMAR,0,0,false,false,false,0
crawl/crime/basic.fountain,HARDY,0,0,false,false,false,0
crawl/crime/wild-at-heart.fountain,LULA,0,0,false,false,false,0
crawl/adventure/sugar-html.fountain,MIGUEL,0,0,false,false,false,0
crawl/thriller/swingers.fountain,MIKE,0,0,false,false,false,0
crawl/sci-fi/sing-street-pdf.fountain,CONOR,0,0,false,false,false,0
crawl/drama/the-public-eye.fountain,BERNZY,0,0,false,false,false,0
crawl/action/red-planet.fountain,GALLAGHER,1,0,true,false,false,0
crawl/sci-fi/elle-pdf.fountain,MICHELLE,0,0,false,false,false,0
crawl/sci-fi/silence-pdf.fountain,RODRIGUES,0,0,false,false,false,0
crawl/drama/the-kingdom-of-heaven-pdf.fountain,BALIAN,0,0,false,false,false,0
crawl/sci-fi/newsies-pdf.fountain,JACK,0,0,false,false,false,0
crawl/crime/dark-city.fountain,BUMSTEAD,0,0,false,false,false,0
crawl/action/punch-drunk-love.fountain,BARRY,0,0,false,false,false,0
crawl/crime/speed-pdf.fountain,SPEED,1,0,true,false,false,0
crawl/horror/interview-with-the-vampire-pdf.fountain,LOUIS,0,0,false,false,false,0
crawl/sci-fi/babel-pdf.fountain,RICHARD,0,0,false,false,false,0
