file,protagonist,legacyReversals,detectedReversals,reversalDisagree,d1Disagree,d2Disagree,qlDeduction
crawl/sci-fi/far-from-the-maddening-crowd-pdf.fountain,BATHSHEBA,0,0,false,false,false,0
crawl/sci-fi/out-of-time-pdf.fountain,MARTY,0,0,false,false,false,0
crawl/action/backdraft-html.fountain,BRIAN,0,1,true,false,false,0
raya-and-the-last-dragon-2021.fountain,RAYA,0,0,false,false,false,0
crawl/sci-fi/save-the-last-dance-pdf.fountain,SARA,0,0,false,false,false,0
crawl/horror/slash-pdf.fountain,SUZIE,0,0,false,false,false,0.9259259259259256
crawl/sci-fi/adaptation-pdf.fountain,KAUFMAN,0,0,false,false,false,0
crawl/sci-fi/rocknrolla-pdf.fountain,ONE TWO,0,0,false,false,false,0
crawl/sci-fi/okja-pdf.fountain,LUCY,0,0,false,false,false,0
crawl/sci-fi/at-first-sight.fountain,VIRGIL,0,0,false,false,false,0
crawl/sci-fi/defiance-pdf.fountain,TUVIA,0,0,false,false,false,0
crawl/sci-fi/man-trouble-pdf.fountain,JOAN,0,0,false,false,false,0
crawl/action/the-fisher-king.fountain,JACK,0,0,false,false,false,0
crawl/fantasy/bad-santa.fountain,WILLIE,1,0,true,false,false,0
crawl/adventure/forrest-gump.fountain,FORREST,0,0,false,false,false,0
crawl/fantasy/election.fountain,JIM,0,0,false,false,false,0
crawl/fantasy/how-to-train-your-dragon-html.fountain,HICCUP,0,0,false,false,false,0
crawl/horror/the-nightmare-before-christmas.fountain,JACK,0,0,false,false,false,0.8823529411764708
crawl/action/the-family-man.fountain,JACK,0,0,false,false,false,0
crawl/action/15-minutes.fountain,JORDY,0,0,false,false,false,0
crawl/action/chasing-amy.fountain,HOLDEN,0,0,false,false,false,0
crawl/sci-fi/hard-rain.fountain,TOM,0,0,false,false,false,0
crawl/crime/memento.fountain,LEONARD,0,0,false,false,false,0
crawl/sci-fi/crank-pdf.fountain,CHEV,0,0,false,false,false,0
room-12.fountain,NORA,0,0,false,false,false,0
crawl/sci-fi/analyse-that-pdf.fountain,BEN,0,0,false,false,false,0
crawl/action/hellboy.fountain,HELLBOY,0,0,false,false,false,0
crawl/action/new-nightmare.fountain,HEATHER,0,0,false,false,false,0
crawl/sci-fi/foundation-pdf.fountain,BAYTA,0,0,false,false,false,0
crawl/crime/bodies-rest-motion.fountain,NICK,0,0,false,false,false,0
crawl/action/detroit-rock-city.fountain,HAWK,0,0,false,false,false,0
crawl/sci-fi/a-walk-to-remember-pdf.fountain,LANDON,0,0,false,false,false,0
crawl/horror/ghost-ship.fountain,MURPHY,0,0,false,false,false,0
crawl/drama/cobb-pdf.fountain,COBB,0,0,false,false,false,0
crawl/fantasy/the-queen-pdf.fountain,ELIZABETH,0,0,false,false,false,0
crawl/drama/sling-blade.fountain,KARL,0,0,false,false,false,0
crawl/crime/minority-report.fountain,ANDERTON,0,0,false,false,false,0
crawl/war/warm-springs.fountain,FRANKLIN,0,0,false,false,false,0
the-lion-king-1994.fountain.txt,SIMBA,0,0,false,false,false,0
crawl/drama/the-man-who-wasn-t-there.fountain,ED,0,0,false,false,false,0
crawl/action/toy-story.fountain,WOODY,0,0,false,false,false,1.4406779661016944
Who Framed Roger Rabbit.fountain.txt,VALIANT,1,0,true,false,false,0
crawl/action/austin-powers-2-the-spy-who-shagged-me.fountain,AUSTIN,0,0,false,false,false,0
crawl/crime/invictus-html.fountain,MANDELA,1,0,true,false,false,0.2631578947368418
crawl/sci-fi/gattaca.fountain,JEROME,0,0,false,false,false,0
crawl/sci-fi/the-pacifier-pdf.fountain,SHANE,0,0,false,false,false,0
crawl/sci-fi/absolute-power-pdf.fountain,LUTHER,0,0,false,false,false,0
crawl/action/mission-impossible.fountain,ETHAN,0,0,false,false,false,0
crawl/crime/king-kong-pdf.fountain,DENHAM,0,0,false,false,false,0
crawl/action/quills.fountain,COULMIER,0,0,false,false,false,0
crawl/sci-fi/hard-to-kill-pdf.fountain,STORM,0,0,false,false,false,0
crawl/adventure/signs.fountain,GRAHAM,0,0,false,false,false,0
crawl/sci-fi/ftkmf-first-they-killed-my-father-pdf.fountain,LOUNG,0,0,false,false,false,5.909090909090908
crawl/action/the-butterfly-effect.fountain,EVAN,0,0,false,false,false,0
crawl/crime/magnolia.fountain,JIM KURRING,0,0,false,false,false,0
crawl/horror/signs-html.fountain,GRAHAM,0,0,false,false,false,0
crawl/sci-fi/while-we-re-young-pdf.fountain,JOSH,0,0,false,false,false,0
Shrek_The_Third.fountain.txt,SHREK,0,1,true,false,false,0
crawl/action/the-rules-of-attraction-pdf.fountain,SEAN,0,0,false,false,false,0
crawl/drama/schindler-s-list.fountain,SCHINDLER,0,0,false,false,false,0
crawl/sci-fi/spanglish-pdf.fountain,JOHN,0,0,false,false,false,0
crawl/sci-fi/wreck-it-ralph-pdf.fountain,RALPH,0,0,false,false,false,0
crawl/fantasy/four-rooms.fountain,TED,0,0,false,false,false,0
crawl/action/independence-day.fountain,DAVID,0,0,false,false,false,0
crawl/action/nixon.fountain,NIXON,0,0,false,false,false,0
crawl/crime/godfather-html.fountain,MICHAEL,0,0,false,false,false,0
crawl/fantasy/stepmom.fountain,JACKIE,0,0,false,false,false,0
crawl/crime/jfk.fountain,JIM,0,0,false,false,false,0
crawl/action/hannibal.fountain,STARLING,0,0,false,false,false,0
crawl/sci-fi/the-greatest-muppet-movie-of-all-time-filmed-as-the-muppets-.fountain,KERMIT,0,0,false,false,false,0
crawl/action/resident-evil-romero-unproduced.fountain,WESKER,0,0,false,false,false,0
crawl/adventure/big-fish.fountain,EDWARD,0,0,false,false,false,0.1851851851851849
crawl/action/3-kings.fountain,ARCHIE GATES,0,0,false,false,false,0
crawl/action/living-in-oblivion.fountain,NICK,0,0,false,false,false,0
crawl/sci-fi/the-last-boy-scout-pdf.fountain,HALLENBECK,0,0,false,false,false,0
toy-story-4-2019.fountain,WOODY,0,0,false,false,false,0
crawl/fantasy/ali-html.fountain,ALI,0,0,false,false,false,0
crawl/sci-fi/the-red-turtle-pdf.fountain,THE RED TURTLE,0,0,false,false,false,0
crawl/action/true-romance.fountain,CLARENCE,0,0,false,false,false,0
crawl/crime/final-destination-2.fountain,KIMBERLY,0,0,false,false,false,0
crawl/sci-fi/the-hollars-pdf.fountain,JOHN,0,0,false,false,false,0
crawl/sci-fi/land-of-the-dead-pdf.fountain,RILEY,0,0,false,false,false,0
crawl/sci-fi/the-three-musketeers-pdf.fountain,D'ARTAGNAN,0,0,false,false,false,0
crawl/action/hostage.fountain,TALLEY,0,0,false,false,false,0
crawl/crime/confidence.fountain,JAKE,0,1,true,false,false,0
crawl/crime/x-men-pdf.fountain,LOGAN,0,0,false,false,false,0.09803921568627416
crawl/sci-fi/one-eight-seven-pdf.fountain,TREVOR,0,0,false,false,false,0
crawl/comedy/monkeybone.fountain,STU,0,0,false,false,false,0
brave-2012.fountain,(none),0,0,false,,,0
crawl/action/blade.fountain,BLADE,0,0,false,false,false,0
crawl/sci-fi/space-cowboys-pdf.fountain,FRANK,0,0,false,false,false,0
crawl/action/crank-html.fountain,CHEV,0,0,false,false,false,0
crawl/crime/serial-mom.fountain,MOM,0,0,false,false,false,0
crawl/horror/brutalist-the-html.fountain,LASZLO,0,0,false,false,false,0
crawl/sci-fi/vantage-point-pdf.fountain,BARNES,0,0,false,false,false,1.5116279069767447
crawl/crime/grosse-pointe-blank.fountain,MARTIN,0,0,false,false,false,0
crawl/action/henry-fool.fountain,HENRY,0,0,false,false,false,0
crawl/sci-fi/summer-of-84-pdf.fountain,DAVEY,0,0,false,false,false,0
crawl/horror/good-will-hunting.fountain,WILL,0,2,true,false,false,0
the-secret-life-of-pets-2016.fountain,MAX,0,0,false,false,false,0
crawl/crime/scream.fountain,SIDNEY,0,0,false,false,false,0
crawl/adventure/gods-and-monsters.fountain,WHALE,0,0,false,false,false,0
0meet-the-robinsons-full-screenplay.fountain,LEWIS,0,0,false,false,false,0
crawl/sci-fi/mississippi-grind-pdf.fountain,CURTIS,0,0,false,false,false,0
crawl/crime/miami-vice.fountain,CROCKETT,0,0,false,false,false,0
crawl/sci-fi/the-end-of-the-tour-pdf.fountain,DAVID,0,0,false,false,false,0.12195121951219523
crawl/action/intolerable-cruelty.fountain,MILES,0,0,false,false,false,0.3061224489795922
crawl/action/l-a-confidential.fountain,EXLEY,0,0,false,false,false,0
crawl/sci-fi/the-cooler.fountain,BERNIE,0,0,false,false,false,0
crawl/fantasy/the-big-lebowski.fountain,DUDE,0,0,false,false,false,0
crawl/fantasy/braveheart.fountain,WALLACE,0,0,false,false,false,0
crawl/action/the-insider.fountain,LOWELL,0,0,false,false,false,0
crawl/comedy/twin-peaks-fire-walk-with-me.fountain,LAURA,0,0,false,false,false,0
crawl/sci-fi/analyse-this-pdf.fountain,BEN,0,0,false,false,false,0
crawl/sci-fi/elizabeth-the-golden-age-pdf.fountain,ELIZABETH,0,0,false,false,false,1.6666666666666663
crawl/action/taking-sides.fountain,STEVE,0,0,false,false,false,0
crawl/crime/black-snake-moan.fountain,LAZARUS,0,0,false,false,false,0
crawl/drama/station-pdf.fountain,DYSON,0,0,false,false,false,0
crawl/crime/erin-brockovich.fountain,ERIN,0,0,false,false,false,0
